price,built_at,year,dong,apart,month,date,area,floor,latitude,longitude
"42,500",2009,2020,중곡동,주성AURA,1,3,67.8,5,37.5507694,127.1092012
"53,800",2002,2020,중곡동,대영2동,1,6,84.33,6,37.5562046,127.0844317
"50,500",2002,2020,중곡동,대영2동,1,22,84.91,1,37.5562046,127.0844317
"134,350",1996,2020,구의동,구의현대2단지,1,3,84.91,13,37.5387348,127.0961255
"104,500",2010,2020,구의동,아차산휴먼시아,1,8,108.72,3,37.5479003,127.093181
"92,700",2005,2020,구의동,세림리오빌,1,9,117.84,1,37.5391513,127.091987
"112,500",2017,2020,구의동,강변에스케이뷰,1,14,84.69,27,37.5385894,127.0901143
"106,800",1994,2020,구의동,구의현대6단지,1,15,84.92,1,37.538457,127.0945701
"130,000",2018,2020,구의동,래미안파크스위트,1,18,84.98,12,37.5459175,127.0906772
"127,000",2017,2020,구의동,강변에스케이뷰,1,20,84.9,16,37.5385894,127.0901143
"35,000",2002,2020,중곡동,욱현,2,7,75.08,3,37.5575658,127.0935141
"49,000",1999,2020,중곡동,에스케이,2,10,58.43,3,37.568842,127.0865144
"52,500",2002,2020,중곡동,중곡동광덕,2,10,84.76,3,37.5684869,127.0794023
"51,000",2001,2020,중곡동,대영1동,2,14,84.7,4,37.5562046,127.0844317
"31,000",1976,2020,중곡동,중곡2단지,2,17,55.87,5,37.5666337,127.0783961
"51,000",1999,2020,중곡동,에스케이,2,18,58.43,5,37.568842,127.0865144
"28,900",1976,2020,중곡동,중곡1단지,2,20,48.46,2,37.5666337,127.0783961
"31,000",1976,2020,중곡동,중곡1단지,2,22,58.78,4,37.5666337,127.0783961
"31,000",2002,2020,구의동,해성,2,1,63.69,3,37.5447499,127.0860314
"51,700",2002,2020,구의동,한솔아파트,2,1,114.24,1,37.5374016,127.0938202
"48,000",2017,2020,중곡동,테라팰리스중곡1,3,12,71.803,4,37.5645201,127.0791251
"50,500",1998,2020,중곡동,성원,3,16,84.98,23,37.571147,127.079626
"34,000",1976,2020,중곡동,중곡2단지,3,27,55.87,3,37.5666337,127.0783961
"97,000",1997,2020,구의동,현대프라임,3,10,59.82,20,37.5373373,127.0976724
"67,800",2005,2020,구의동,그레이스홈타운(102동),3,11,107.07,4,37.5466951,127.0914159
"60,000",2014,2020,구의동,주성힐스톤,3,13,70.96,4,37.5426265,127.0913642
"59,800",2020,2020,구의동,한영해시안아파트,3,14,59.97,10,37.5030498,127.118909
"108,000",1994,2020,구의동,구의현대6단지,3,19,84.92,14,37.538457,127.0945701
"85,000",2000,2020,구의동,새한,3,21,84.91,7,37.5400585,127.0883993
"125,000",2018,2020,구의동,래미안파크스위트,3,25,84.98,3,37.5459175,127.0906772
"28,800",1976,2020,중곡동,중곡1단지,4,27,48.46,3,37.5666337,127.0783961
"44,500",2007,2020,중곡동,웰빙,4,28,83.66,7,37.5705942,127.0858594
"45,000",2003,2020,중곡동,그랑,4,29,81.1,2,37.5971441,127.0840417
"51,000",1998,2020,중곡동,성원,4,30,84.98,22,37.571147,127.079626
"86,000",2010,2020,구의동,아차산휴먼시아,4,20,84.76,3,37.5479003,127.093181
"73,000",1997,2020,구의동,구의현대7단지현대홈타운,4,21,59.97,6,37.536675,127.0910916
"73,000",2010,2020,구의동,아차산휴먼시아,4,23,59.63,5,37.5479003,127.093181
"131,000",1997,2020,구의동,현대프라임,4,29,84.99,12,37.5373373,127.0976724
"130,000",1989,2020,광장동,극동2,4,1,84.55,10,37.5431233,127.1042357
"84,700",1996,2020,광장동,청구,4,15,59.95,6,37.5424859,127.0962615
"34,500",1976,2020,중곡동,중곡1단지,5,1,57.88,5,37.5666337,127.0783961
"57,500",1996,2020,중곡동,신성그랜드타워,5,6,156.03,4,37.5648702,127.0805429
"35,500",1976,2020,중곡동,중곡2단지,5,12,55.9,1,37.5666337,127.0783961
"53,500",1999,2020,중곡동,에스케이,5,16,58.43,6,37.568842,127.0865144
"27,000",2002,2020,중곡동,대영,5,19,57.94,2,37.5562046,127.0844317
"14,000",2012,2020,중곡동,욱현하이브Ⅲ,5,21,16.81,8,37.5514266,127.0929179
"15,800",2012,2020,중곡동,욱현하이브Ⅲ,5,25,18.85,8,37.5514266,127.0929179
"43,000",2002,2020,중곡동,삼성로얄,5,27,84.84,5,37.5537329,127.0968194
"49,000",2017,2020,중곡동,테라팰리스중곡1,5,28,71.803,6,37.5645201,127.0791251
"38,000",1976,2020,중곡동,중곡2단지,5,29,55.87,3,37.5666337,127.0783961
"13,000",2012,2020,중곡동,욱현하이브Ⅲ,6,1,15.01,7,37.5514266,127.0929179
"44,000",2005,2020,중곡동,진흥아르미,6,6,84.96,6,37.5623704,127.0757101
"33,000",1995,2020,중곡동,삼민,6,8,59.4,6,37.5630927,127.0837093
"12,800",2012,2020,중곡동,욱현하이브Ⅲ,6,9,14.5,8,37.5514266,127.0929179
"42,700",2009,2020,중곡동,주성AURA,6,10,67.76,1,37.5507694,127.1092012
"28,500",1976,2020,중곡동,중곡1단지,6,11,48.46,2,37.5666337,127.0783961
"29,500",1976,2020,중곡동,중곡1단지,6,11,57.88,3,37.5666337,127.0783961
"44,000",1998,2020,중곡동,성원,6,13,59.82,21,37.571147,127.079626
"38,200",1976,2020,중곡동,중곡2단지,6,22,55.87,2,37.5666337,127.0783961
"39,700",1976,2020,중곡동,중곡2단지,6,23,55.87,3,37.5666337,127.0783961
"37,000",1976,2020,중곡동,중곡1단지,7,2,57.88,2,37.5666337,127.0783961
"38,500",2002,2020,중곡동,욱현,7,3,70.71,2,37.5575658,127.0935141
"46,000",2004,2020,중곡동,두리,7,4,82.3,1,37.557023,127.0899945
"44,000",2009,2020,중곡동,주성AURA,7,4,64.52,7,37.5507694,127.1092012
"41,000",1976,2020,중곡동,중곡2단지,7,8,55.87,2,37.5666337,127.0783961
"52,700",2017,2020,중곡동,테라팰리스중곡1,7,8,71.803,6,37.5645201,127.0791251
"60,000",1996,2020,중곡동,신성그랜드타워,7,10,126.81,8,37.5648702,127.0805429
"58,000",1998,2020,중곡동,성원,7,11,84.98,17,37.571147,127.079626
"40,000",2002,2020,중곡동,삼성로얄3,7,17,83.07,2,37.5537329,127.0968194
"55,500",2002,2020,중곡동,중곡동광덕,7,22,84.76,4,37.5684869,127.0794023
"49,800",2017,2020,중곡동,테라팰리스중곡1,8,1,71.803,2,37.5645201,127.0791251
"13,000",2012,2020,중곡동,욱현하이브Ⅲ,8,6,15.01,7,37.5514266,127.0929179
"59,000",1999,2020,중곡동,에스케이,8,25,58.43,13,37.568842,127.0865144
"59,000",1999,2020,중곡동,에스케이,8,25,58.43,13,37.568842,127.0865144
"120,000",2018,2020,구의동,래미안파크스위트,8,1,59.98,9,37.5459175,127.0906772
"97,000",2001,2020,구의동,성동강변파크빌101(강변타워),8,4,84.97,3,37.5378182,127.0927647
"89,900",2010,2020,구의동,아차산휴먼시아,8,5,84.68,8,37.5479003,127.093181
"130,000",2017,2020,구의동,강변에스케이뷰,8,6,84.81,28,37.5385894,127.0901143
"137,000",2006,2020,구의동,현대13차폴라트리움,8,8,127.91,10,37.5394013,127.0946534
"119,000",2002,2020,구의동,세양,8,13,84.32,5,37.5374016,127.0938202
"11,000",2012,2020,중곡동,욱현하이브Ⅲ,9,1,14.5,8,37.5514266,127.0929179
"21,000",1976,2020,중곡동,중곡1단지,9,8,48.46,5,37.5666337,127.0783961
"42,000",1976,2020,중곡동,중곡1단지,9,19,48.46,5,37.5666337,127.0783961
"66,500",1996,2020,중곡동,신성그랜드타워,9,24,154.08,3,37.5648702,127.0805429
"140,000",2018,2020,구의동,래미안파크스위트,9,5,84.98,9,37.5459175,127.0906772
"59,800",2020,2020,구의동,한영해시안아파트,9,6,59.97,8,37.5030498,127.118909
"209,000",1997,2020,구의동,현대프라임,9,12,183.87,15,37.5373373,127.0976724
"92,000",2010,2020,구의동,아차산휴먼시아,9,12,84.68,7,37.5479003,127.093181
"52,000",2009,2020,구의동,아차산한라아파트,9,14,60.39,4,37.5539333,127.0971498
"64,300",2009,2020,구의동,아차산한라아파트,9,14,74.19,5,37.5539333,127.0971498
"42,500",2002,2020,중곡동,호동,10,10,69.36,3,37.5512883,127.0707387
"23,800",2002,2020,중곡동,광남캐스빌3차,10,26,69.6,3,37.5641047,127.0804976
"57,000",2001,2020,능동,(246-11),10,24,80.47,3,37.5541677,127.0852214
"133,000",1996,2020,구의동,구의현대2단지,10,6,84.75,16,37.5387348,127.0961255
"110,000",2006,2020,구의동,현대13차폴라트리움,10,7,127.91,12,37.5394013,127.0946534
